CourseCode,CourseName,Department,ILO,Similarity,Content
FK7066,Molekylfysik,Fysikum,Du ska kunna växelverkan .,0.27208811044692993,"Kursen behandlar den grundläggande kvantmekaniken för att beskriva molekylära egenskaper och hur symmetribegreppet kan användas i detta sammanhang. Grunderna för gruppteori introduceras och tillämpas i beskrivning av molekylstruktur, elektronstruktur, vibration och rotation, samt för att härleda urvalsregler för molekylers växelverkan med elektromagnetisk strålning. Vidare behandlas experimentella metoder för undersökning av molekylära egenskaper. För att belysa de teoretiska begreppen används exempel från olika delar av den experimentella molekylfysiken såsom ultrasnabb laserspektrokopi, lagringsringar för joner och röntgen- och synkrotronljusstrålning."
FK7052,Introduktion till kvantinformation och kvantdatorer,Fysikum,Du ska kunna redogöra för begrepp som icke .,0.3337717056274414,"Kursen behandlar forskningsfältet kvantinformation och kvantdatorer. I kursen tas ett informationsteoretiskt grepp på kvantfysikens grundläggande lagar. Kursen innehåller: • grundläggande kvantmekanik inklusive snärjelse (inflätning) och den kvantmekaniska teorin för mätningar och kvantmekanisk dekoherens • klassisk informationsteori och dess generalisering till kvantinformation, där kvantkanaler och kvantkryptografi ingår • kvantdatorer: kvantgrindar och elementära kvantkretsar samt kvantalgoritmer och kvantfelkorrigering • fysikaliska realiseringar."
FK7054,Nanoteknologi,Fysikum,Du ska kunna beskriva samband i kedjan Process – Struktur .,0.2998885214328766,"Kursen beskriver processer och material inom mikrofabrikation (fotolitografi, olika typer av deponering och etsning av tunna filmer), nanofabrikationsprocesser (elektronstrålelitografi och etsning med hjälp av fokuserad jonstråle) och olika karakteriseringsmetoder och renrumsutrustning. Kursen behandlar fysiken bakom mikro/nanoteknologi (vakuum, plasma, elektronoptik, materialvetenskap, m.m.) och ger en överblick över den aktuella nanoforskningen och pågående utveckling av processer och material inom mikro/nanoteknologin."
FK7054,Nanoteknologi,Fysikum,Egenskaper .,0.11174271255731583,"Kursen beskriver processer och material inom mikrofabrikation (fotolitografi, olika typer av deponering och etsning av tunna filmer), nanofabrikationsprocesser (elektronstrålelitografi och etsning med hjälp av fokuserad jonstråle) och olika karakteriseringsmetoder och renrumsutrustning. Kursen behandlar fysiken bakom mikro/nanoteknologi (vakuum, plasma, elektronoptik, materialvetenskap, m.m.) och ger en överblick över den aktuella nanoforskningen och pågående utveckling av processer och material inom mikro/nanoteknologin."
GG4209,Globala geokemiska cykler,Institutionen för geologiska vetenskaper (IGV),Du ska kunna visa förmåga att kritiskt läsa grundläggande vetenskaplig litteratur och förstå metoder och deras begränsningar .,0.23122280836105347,"Kursen behandlar:  • globala geokemiska cykler (kretslopp) • geokemi i atmosfären, hydrosfären, och jordens uppbyggnad • uppkomsten och utvecklingen av jordens kemi för att ge en översikt av geokemiska processer, flöden och återkopplingar • samspelet mellan jordens olika beståndsdelar för att förklara hur de globala geokemiska cyklerna samverkar och reglerar sammansättningen av atmosfären och oceanerna • effekterna av människans påverkan på de globala kretsloppen"
ARL842,Fältkurs i laborativ arkeologi,Institutionen för arkeologi och antikens kultur,Du ska kunna argumentera för vald strategi utifrån frågeställningen och objektets karaktär .,0.32033461332321167,"Kursen ger en fördjupad kännedom i arkeologisk undersökningsteknik och prospektering med särskild laborativ inriktning. Delkurs Prospektering och planering: - I kursen genomförs en prospektering som avrapporteras. Vidare färdigställs en undersökningsplan och en provtagningsplan inför undersökningarna i delkurs 2. Delkurs Prov- och fyndhantering: - I kursen genomförs en arkeologisk undersökning, där studenten har särskilt ansvar för prov- och fyndhantering genom att provtagningsplanen tillämpas, som avrapporteras."
FILOCS,Logik i datavetenskap och artificiell intelligens,Filosofiska institutionen,Du ska kunna uppvisa grundläggande kunskap om och förmåga att använda Floyd .,0.23128339648246765,"Kursen behandlar ett urval teman som innehåller betydelsefulla tillämpningar av logik till data- och informationsvetenskaper och artificiell intelligens. Bland dessa märks: 1.Användningen av klassisk första ordningens (FO) språk och logik för kunskapsrepresentation och automatisk teorembevisning baserad på första ordningens resolution med unifiering. 2.Introduktion till logikprogrammering och Prolog. 3.Introduktion till logiska metoder för programverifiering, till Floyd-Hoare logik för bevis av partiell korrekthet hos datorprogram, samt till metoder för att bevisa att datorprogram terminerar och är fullständigt korrekta. 4.Dynamisk satslogik för program (PDL). 5.Tidslogiker i datavetenskap. Användning av tidslogiker för linjär tid och för förgrenande tid för formell specifikation av egenskaper hos transisitionssystem, och av beräkningar i desamma. Modellprövning och formell verifikation av reaktiva och parallella system."
EC2116,Offentlig ekonomi,Nationalekonomiska institutionen,Förstå .,0.29373908042907715,"Denna kurs startar med en övergripande diskussion av varför ämnet offentlig ekonomi är viktigt och med en analys av statens roll i ekonomin. När ska staten gripa in i ekonomin och inte låta marknaden fungera utan ekonomisk politik? Som exempel, varför ska staten tillhandahålla gratis utbildning? Varför bör staten beskatta koldioxidutsläpp? Varför bör staten beskatta inkomster progressivt?   Utöver dessa normativa frågor går vi även igenom hur skatter och andra statliga interventioner påverkar ekonomin. Dessa positiva frågor kräver både teoretiska och empiriska verktyg. Vi lär oss dessa metoder och använder dem för att förstå och för att skatta statens roll i samhället.   En röd tråd genom kursen är att ha en tydlig koppling mellan teori och empiri. Vi fördjupar oss genom aktuella forskningsartiklar som haft stort inflytande på den ekonomisk-politiska debatten både i Sverige och resten av världen.  Syftet med kursen är att ge en allmän överblick över ämnet offentlig ekonomi. Vi fördjupar oss inom områden som beskattning, sociala försäkringar, politik rörande klimatförändringar, ojämlikhet av resurser, utbildning, samt skattefusk."
ABMETH,"Teman i Mellanösterns etnografi: Diskurs, politik, kultur","Institutionen för Asien-, Mellanöstern- och Turkietstudier",Formulera ett väl uppbyggt och vetenskapligt förankrat argument .,0.2682420611381531,"Denna kurs ger studenten en fördjupad och mångfacetterad insyn i vardagligt liv i Mellanöstern, genom att introducera central etnografisk litteratur som på ett kritiskt sätt behandlar ett antal teman, såsom islam, historia, genus, urbanisering, globalisering och modernitet, media och politik. Vad kännetecknar denna litteratur? Vilka teman och frågor verkar vara mest framträdande och varför? Hur behandlas de teoretiskt? Även om alla länder i regionen inte kommer att behandlas, kommer kursen att ta upp frågan om huruvida de texter som behandlas ger insyn i praktiker i den större regionen och i vilken mån de har relevans för större frågor och debatter."
ABMETH,"Teman i Mellanösterns etnografi: Diskurs, politik, kultur","Institutionen för Asien-, Mellanöstern- och Turkietstudier",Visa förmåga att kommunicera på ett effektivt sätt i en muntligt presentation .,0.22373999655246735,"Denna kurs ger studenten en fördjupad och mångfacetterad insyn i vardagligt liv i Mellanöstern, genom att introducera central etnografisk litteratur som på ett kritiskt sätt behandlar ett antal teman, såsom islam, historia, genus, urbanisering, globalisering och modernitet, media och politik. Vad kännetecknar denna litteratur? Vilka teman och frågor verkar vara mest framträdande och varför? Hur behandlas de teoretiskt? Även om alla länder i regionen inte kommer att behandlas, kommer kursen att ta upp frågan om huruvida de texter som behandlas ger insyn i praktiker i den större regionen och i vilken mån de har relevans för större frågor och debatter."
