CourseCode,Department,SBERT_Similarity,ILO_Count
EC7310,Nationalekonomiska institutionen,0.7041487693786621,3.0
EC7410,Nationalekonomiska institutionen,0.5579021573066711,2.0
EC7411,Nationalekonomiska institutionen,0.5235393842061361,3.0
EC7311,Nationalekonomiska institutionen,0.6128411839405695,3.0
EC7114,Nationalekonomiska institutionen,0.46673470735549927,6.0
EC3011,Nationalekonomiska institutionen,0.8246025741100311,1.0
JU222L,Juridiska institutionen,0.6491559326648713,5.0
LK7091,Historiska institutionen,0.7157096564769745,4.0
FK4024,Fysikum,0.7139778807759285,4.0
JU205L,Juridiska institutionen,0.6471043825149536,6.0
JU211L,Juridiska institutionen,0.6630258038640022,8.0
HA22FF,Juridiska institutionen,0.6742298553387324,6.0
YPA100,Institutionen för pedagogik och didaktik,0.7883261839548746,3.0
JU724A,Juridiska institutionen,0.6104748696088791,5.0
ENPW75,Engelska institutionen,0.6645944019158682,3.0
JU212L,Juridiska institutionen,0.6367317714861461,7.0
EC7810,Nationalekonomiska institutionen,0.8286324739456177,2.0
JU214L,Juridiska institutionen,0.6782447457313537,5.0
JU223L,Juridiska institutionen,0.7747789800167084,5.0
JU724B,Juridiska institutionen,0.6104748696088791,5.0
DIG11K,Institutionen för pedagogik och didaktik,0.7495912710825602,3.0
JU213L,Juridiska institutionen,0.6507111589113871,6.0
IH5301,Institutionen för kultur och estetik,0.5643277338572911,7.0
YP20LÄ,Institutionen för pedagogik och didaktik,0.6248856127262116,5.0
UCA22K,Institutionen för pedagogik och didaktik,0.823316216468811,3.0
PSTPPD,Psykologiska institutionen,0.681376226246357,6.0
PSTP35,Psykologiska institutionen,0.5647714901715517,8.0
PSTP25,Psykologiska institutionen,0.7059028968214989,6.0
UB603Y,Barn- och ungdomsvetenskapliga institutionen,0.8054570257663727,3.0
YP21LÄ,Institutionen för pedagogik och didaktik,0.6244231071323156,8.0
PSPR01,Psykologiska institutionen,0.8583225682377815,4.0
PSPR02,Psykologiska institutionen,0.7400679215788841,4.0
PSPR04,Psykologiska institutionen,0.6552448153495789,5.0
PSPR03,Psykologiska institutionen,0.7508289303098407,7.0
YP23LÄ,Institutionen för pedagogik och didaktik,0.8184948414564133,4.0
PSPR05,Psykologiska institutionen,0.6264364048838615,6.0
PSPR06,Psykologiska institutionen,0.6866674333810806,5.0
PSPR07,Psykologiska institutionen,0.699540913105011,7.0
PSPR08,Psykologiska institutionen,0.7507775753736496,5.0
NSNK03,Institutionen för svenska och flerspråkighet,0.6826750934123993,3.0
PSPR09,Psykologiska institutionen,0.704984779159228,6.0
PSPR10,Psykologiska institutionen,0.6815005711146763,7.0
PSPR11,Psykologiska institutionen,0.7602803647518158,5.0
PSPR13,Psykologiska institutionen,0.7524952962994576,4.0
PSPR12,Psykologiska institutionen,0.7474334703551399,9.0
PSPR14,Psykologiska institutionen,0.8188862279057503,4.0
PSPR16,Psykologiska institutionen,0.7866263389587402,5.0
GG5119,Institutionen för geologiska vetenskaper (IGV),0.784984640777111,4.0
PSPR15,Psykologiska institutionen,0.688710880279541,5.0
PSPR17,Psykologiska institutionen,0.730058620373408,3.0
PSPR18,Psykologiska institutionen,0.6816850985799517,7.0
JU629G,Juridiska institutionen,0.7438897341489792,4.0
JU630A,Juridiska institutionen,0.6986372351646424,5.0
JU630B,Juridiska institutionen,0.6929511964321137,5.0
JU629A,Juridiska institutionen,0.7709646165370941,5.0
PSPR19,Psykologiska institutionen,0.7410574197769165,5.0
PSPR20,Psykologiska institutionen,0.7208889176448187,6.0
PSPR21,Psykologiska institutionen,0.7170525461435318,5.0
JU729A,Juridiska institutionen,0.6580823212862015,4.0
PSPR23,Psykologiska institutionen,0.6807952736105237,7.0
PSPR25,Psykologiska institutionen,0.630857697554997,7.0
SOD251,Sociologiska institutionen,0.7247062971194586,6.0
US861U,Institutionen för ämnesdidaktik,0.7390521392226219,4.0
US961U,Institutionen för ämnesdidaktik,0.7390521392226219,4.0
US862U,Institutionen för ämnesdidaktik,0.7979728654026985,4.0
US962U,Institutionen för ämnesdidaktik,0.7979728654026985,4.0
US863U,Institutionen för ämnesdidaktik,0.7253232300281525,3.0
US963U,Institutionen för ämnesdidaktik,0.7253232300281525,3.0
US864U,Institutionen för ämnesdidaktik,0.6472856899102529,3.0
US964U,Institutionen för ämnesdidaktik,0.6472856899102529,3.0
SAM225,Socialantropologiska institutionen,0.6868857528482165,7.0
PSPR27,Psykologiska institutionen,0.6734815239906311,6.0
UB211A,Barn- och ungdomsvetenskapliga institutionen,0.7341661214828491,5.0
PSPR28,Psykologiska institutionen,0.6661137342453003,6.0
UCG106,Institutionen för pedagogik och didaktik,0.6894499003887177,5.0
MT7035,Matematiska institutionen,0.7222211559613546,6.0
JU358A,Juridiska institutionen,0.7177199125289917,6.0
DA8001,Matematiska institutionen,0.5690580159425735,6.0
NS171U,Institutionen för svenska och flerspråkighet,0.6903549805283546,4.0
JU610K,Juridiska institutionen,0.6662500533792708,9.0
JU889K,Juridiska institutionen,0.6038005224296025,7.0
UM7104,Institutionen för ämnesdidaktik,0.7771796733140945,4.0
USVF1K,Institutionen för ämnesdidaktik,0.6332555668694633,7.0
USVF2K,Institutionen för ämnesdidaktik,0.6931534343295627,9.0
UCG115,Institutionen för pedagogik och didaktik,0.818937212228775,2.0
UCG116,Institutionen för pedagogik och didaktik,0.772300144036611,3.0
UCG119,Institutionen för pedagogik och didaktik,0.6964676976203918,3.0
UCG121,Institutionen för pedagogik och didaktik,0.807941069205602,3.0
UCG123,Institutionen för pedagogik och didaktik,0.7879287302494049,3.0
ES022A,Romanska och klassiska institutionen,0.7350530276695887,9.0
UB107Y,Barn- och ungdomsvetenskapliga institutionen,0.8054059576243162,8.0
UCG118,Institutionen för pedagogik och didaktik,0.7930347124735514,3.0
UCG124,Institutionen för pedagogik och didaktik,0.8758222262064616,3.0
UCG125,Institutionen för pedagogik och didaktik,0.7357651710510253,5.0
UB106Y,Barn- och ungdomsvetenskapliga institutionen,0.7423264334599177,3.0
YP24LÄ,Institutionen för pedagogik och didaktik,0.6615494638681412,6.0
YP25LÄ,Institutionen för pedagogik och didaktik,0.6297684192657471,5.0
UCG111,Institutionen för pedagogik och didaktik,0.6946110725402832,8.0
UM3312,Institutionen för ämnesdidaktik,0.6683257392474583,7.0
UB20VY,Barn- och ungdomsvetenskapliga institutionen,0.7348499223589897,8.0
HVVFUU,Institutionen för ämnesdidaktik,0.609340124660068,9.0
GG2013,Institutionen för geologiska vetenskaper (IGV),0.7651569247245789,2.0
UB214Y,Barn- och ungdomsvetenskapliga institutionen,0.8254097700119019,4.0
MT5012,Matematiska institutionen,0.5859041586518288,4.0
UB213Y,Barn- och ungdomsvetenskapliga institutionen,0.7968351185321808,5.0
UB11FS,Barn- och ungdomsvetenskapliga institutionen,0.6443543545901775,4.0
UB12FS,Barn- och ungdomsvetenskapliga institutionen,0.6367121152579784,4.0
UB213Z,Barn- och ungdomsvetenskapliga institutionen,0.6472861071427664,6.0
UM2320,Institutionen för ämnesdidaktik,0.6360415875911712,5.0
HVVUB3,Institutionen för ämnesdidaktik,0.6649757958948612,8.0
HVVUM3,Institutionen för ämnesdidaktik,0.6649757958948612,8.0
USVF1G,Institutionen för ämnesdidaktik,0.6328760257789067,7.0
USV33G,Institutionen för ämnesdidaktik,0.65076569840312,8.0
HVKVF2,Institutionen för ämnesdidaktik,0.6869566291570663,10.0
UM5006,Institutionen för ämnesdidaktik,0.6440835509981427,7.0
HV426F,Institutionen för ämnesdidaktik,0.777585580945015,4.0
UM7027,Institutionen för ämnesdidaktik,0.6376510305064065,7.0
UB05VZ,Barn- och ungdomsvetenskapliga institutionen,0.6437913998961449,4.0
UB10VY,Barn- och ungdomsvetenskapliga institutionen,0.6993238627910614,5.0
UB34VY,Barn- och ungdomsvetenskapliga institutionen,0.6315504256635904,8.0
UB42VY,Barn- och ungdomsvetenskapliga institutionen,0.670402467250824,7.0
UB62VY,Barn- och ungdomsvetenskapliga institutionen,0.6995805680751801,10.0
UB06VZ,Barn- och ungdomsvetenskapliga institutionen,0.6337759256362915,5.0
UB28UU,Barn- och ungdomsvetenskapliga institutionen,0.6679715216159821,5.0
UB29UU,Barn- och ungdomsvetenskapliga institutionen,0.7184005975723267,7.0
UB04VS,Barn- och ungdomsvetenskapliga institutionen,0.6995805680751801,10.0
KZ7009,Kemikum,0.6961247086524963,5.0
UB211Z,Barn- och ungdomsvetenskapliga institutionen,0.6427817990382513,3.0
HVÄU03,Institutionen för ämnesdidaktik,0.7512494623661041,3.0
UCG02K,Institutionen för pedagogik och didaktik,0.7510004758834838,5.0
USVF1Ä,Institutionen för ämnesdidaktik,0.64163219502994,7.0
UM301U,Institutionen för ämnesdidaktik,0.6683257392474583,7.0
UM4055,Institutionen för biokemi och biofysik (DBB),0.6842488646507263,5.0
USVF3K,Institutionen för ämnesdidaktik,0.70431824401021,8.0
PSTP26,Psykologiska institutionen,0.7452143515859332,7.0
UCG127,Institutionen för pedagogik och didaktik,0.6931324303150177,4.0
SU5A17,Institutionen för socialt arbete,0.7833680361509323,4.0
LVL18U,Institutionen för kultur och estetik,0.8637949923674265,3.0
LVL16U,Institutionen för kultur och estetik,0.6857852439085642,3.0
PSTP46,Psykologiska institutionen,0.7198304384946823,2.0
PSTSKB,Psykologiska institutionen,0.5458799600601196,1.0
PSTSPD,Psykologiska institutionen,0.5789234042167664,1.0
UB214A,Barn- och ungdomsvetenskapliga institutionen,0.7262150526046753,5.0
UB10VU,Barn- och ungdomsvetenskapliga institutionen,0.734692245721817,5.0
