identifier,plan_description,objectives
AS1011,"Kursen behandlar observationella och teoretiska aspekter av exotiska kompakta objekt, såsom vita dvärgar, neutronstjärnor och svarta hål.  Speciellt behandlas: upptäcktshistorien av de exotiska objekten, en översikt av slutstadierna av stjärnutveckling, supernovaexplosioner, pulsarer, struktur hos neutronstjärnorna, fysiken hos svarta hål, grundtankarna i allmän relativitetsteori, händelsehorisonter, singulariteter, maskhål, observationella aspekter av kompakta objekt, röntgenkällor, gammastrålningsutbrott, kolliderande neutronstjärnor, supermassiva svarta hål i aktiva galaxkärnor, det svarta hålet i Vintergatans centrum, Hawkingstrålning, gravitationsstrålning, olika typer av teleskop och satelliter för röntgen och gammastrålning.","Efter att ha genomgått kursen skall studenten kunna visa orienterande insikter i: • de olika slutstadier som stjärnor av olika massor slutar i, liksom uppkomsten av supermassiva svarta hål i galaxkärnor • de viktigaste egenskaperna hos vita dvärgar, neutronstjärnor och svarta hål • olika observationella egenskaper hos kompakta objekt av olika slag"
AS1011,"Kursen behandlar observationella och teoretiska aspekter av exotiska kompakta objekt, såsom vita dvärgar, neutronstjärnor och svarta hål.  Speciellt behandlas: upptäcktshistorien av de exotiska objekten, en översikt av slutstadierna av stjärnutveckling, supernovaexplosioner, pulsarer, struktur hos neutronstjärnorna, fysiken hos svarta hål, grundtankarna i allmän relativitetsteori, händelsehorisonter, singulariteter, maskhål, observationalla aspekter av kompakta objekt, röntgenkällor, gammastrålningsutbrott, kolliderande neutronstjärnor, supermassiva svarta hål i aktiva galaxkärnor, det svarta hålet i Vintergatans centrum, Hawkingstrålning, gravitationsstrålning, olika typer av teleskop och satelliter för röntgen och gammastrålning. ","Efter att ha genomgått kursen skall studenten kunna visa orienterande insikter i: • de olika slutstadier som stjärnor av olika massor slutar i, liksom uppkomsten av supermassiva svarta hål i galaxkärnor • de viktigaste egenskaperna hos vita dvärgar, neutronstjärnor och svarta hål • olika observationella egenskaper hos kompakta objekt av olika slag"
LV1011,"Kursens syfte är att undersöka hur och vad den svenska barnboken berättar om naturen.  Genom att belysa traditionen från folkdiktningens rim och ramsor, via Beskow, Bauer och Lagerlöf och framåt, till våra dagars urbana skildringar och medvetande om klimatförändringar, studeras hur den romantiska och specifikt nordiska relationen till naturen uttrycks i barnlitterära texter där naturen antingen är ett tema i sig eller utgör inramning, fond eller spelrum för handlingen. Kursen vänder sig till bibliotekarier, lärare och alla som intresserar sig för sambandet mellan barn, natur och samhälle och dess uttryck i litteraturen.","Den studerande skall efter genomgången kurs kunna identifiera samt, såväl muntligt som skriftligt, redogöra för hur förhållandet mellan människa och natur avspeglas och gestaltas i de senaste hundra årens svenska barnlitteratur.  Detta inbegriper förtrogenhet med den barnlitterära konventionen och en förmåga att relatera iakttagelserna till en vidare samhällelig och kulturell kontext."
TVBTGN,Kursen syftar till att ge en översikt över svensk barnteater i ett historiskt perspektiv samt att analysera relevanta delar av den samtida repertoaren. Barnteatern kommer vidare att sättas i relation till barnkulturella uttryck i bred bemärkelse.,Efter genomgången kurs förväntas studenten visa sin förmåga att - kritiskt belysa och tolka olika aspekter på och nedslag i svensk barnteaterhistoria  - analysera och tolka samtida barnteater   - relatera barnteater till aktuella barnkulturella sammanhang  - diskutera frågeställningar som rör barnpublikens uppfattningar om scenkonst - problematisera och muntligt samt skriftligt diskutera ett väl avgränsat område inom fältet barnteater
TVBTGN,Kursen syftar till att ge en översikt över svensk barnteater i ett historiskt perspektiv samt att analysera relevanta delar av den samtida repertoaren. Barnteatern kommer vidare att sättas i relation till barnkulturella uttryck i bred bemärkelse.,För godkänt resultat på kursen ska studenten kunna:  - kritiskt belysa och tolka olika aspekter på och nedslag i svensk barnteaterhistoria  - analysera och tolka samtida barnteater   - relatera barnteater till aktuella barnkulturella sammanhang  - diskutera frågeställningar som rör barnpublikens uppfattningar om scenkonst - problematisera och muntligt samt skriftligt diskutera ett väl avgränsat område inom fältet barnteater
TVBTGN,Kursen behandlar svensk barnteater i ett historiskt perspektiv samt ger kunskaper om relevanta delar av den samtida repertoaren. Barnteatern kommer vidare att sättas i relation till barnkulturella uttryck i bred bemärkelse.,För godkänt resultat på kursen ska studenten kunna:  - redogöra för olika aspekter på och nedslag i svensk barnteaterhistoria  - analysera och tolka samtida barnteater   - reflektera över barnteater i relation till aktuella barnkulturella sammanhang
EC1212,"Kursen introducerar makroekonomiska problem och metoder. Den består av en teoridel och en tillämpningsdel. Teoridelen lär ut beräkningsgrunder för bruttonationalprodukten (BNP) och teorier för hur produktion, arbetslöshet och inflation bestäms. Den lär också ut teorier för hur finans- och penningpolitik påverkar ekonomin på kort och medellång sikt. Vidare lär den ut teorier för tillväxt, konjunkturcykler och för hur olika valutasystem påverkar BNP, sysselsättning och förutsättningarna för den ekonomiska politiken. I tillämpningsdelen studeras stabiliseringspolitiska problem i en öppen ekonomi, konjunkturell och långsiktig ekonomisk utveckling samt olika synsätt på stabiliseringspolitikens roll och möjligheter. Kursen ger även en viss orientering om nationalekonomins utveckling.  Kursen vänder sig till alla som vill lära sig grunderna i makroekonomisk analys. Makroekonomisk analys används i stor utsträckning inom banker, vissa delar av statsförvaltningen och internationella organisationer med ekonomisk inriktning. Den utgör grunden för all slags omvärldsanalys med ekonomiska förtecken.","Efter att ha genomgått kursen förväntas studenten: • Förstå principerna för nationalräkenskapernas uppläggning och för beräkningar av BNP • Kunna tolka innebörden av makroekonomisk statistik • Förstå samband mellan makroekonomiska variabler som BNP, arbetslöshet, ränta, prisnivå och växelkurs • Veta hur penning- och finanspolitik bedrivs • Förstå hur lönebildningen sker och hur den påverkas av institutionella faktorer • Veta hur svensk ekonomisk politik har bedrivits i ett historiskt perspektiv • Förstå skillnaden mellan positiva och normativa analyser • Kunna utföra analyser av effekten av finans- och penningpolitik på kort och medellång sikt • Kunna utföra analyser av hur strukturella förändringar påverkar produktion och arbetslöshet"
EC1212,"Kursen introducerar makroekonomiska problem och metoder. Den består av en teoridel och en tillämpningsdel. Teoridelen lär ut beräkningsgrunder för bruttonationalprodukten (BNP) och teorier för hur produktion, arbetslöshet och inflation bestäms. Den lär också ut teorier för hur finans- och penningpolitik påverkar ekonomin på kort och medellång sikt. Vidare lär den ut teorier för tillväxt, konjunkturcykler och för hur olika valutasystem påverkar BNP, sysselsättning och förutsättningarna för den ekonomiska politiken. I tillämpningsdelen studeras stabiliseringspolitiska problem i en öppen ekonomi, konjunkturell och långsiktig ekonomisk utveckling samt olika synsätt på stabiliseringspolitikens roll och möjligheter. Kursen ger även en viss orientering om nationalekonomins utveckling.  Kursen vänder sig till alla som vill lära sig grunderna i makroekonomisk analys. Makroekonomisk analys används i stor utsträckning inom banker, vissa delar av statsförvaltningen och internationella organisationer med ekonomisk inriktning. Den utgör grunden för all slags omvärldsanalys med ekonomiska förtecken.","Efter att ha genomgått kursen förväntas studenten: • Förstå principerna för nationalräkenskapernas uppläggning och för beräkningar av BNP • Kunna tolka innebörden av makroekonomisk statistik • Förstå samband mellan makroekonomiska variabler som BNP, arbetslöshet, ränta, prisnivå och växelkurs • Veta hur penning- och finanspolitik bedrivs • Förstå hur lönebildningen sker och hur den påverkas av institutionella faktorer • Veta hur svensk ekonomisk politik har bedrivits i ett historiskt perspektiv • Förstå skillnaden mellan positiva och normativa analyser • Kunna utföra analyser av effekten av finans- och penningpolitik på kort och medellång sikt • Kunna utföra analyser av hur strukturella förändringar påverkar produktion och arbetslöshet"
EC1212,"Kursen introducerar makroekonomiska problem och metoder. Den består av en teoridel och en tillämpningsdel. Teoridelen lär ut beräkningsgrunder för bruttonationalprodukten (BNP) och teorier för hur produktion, arbetslöshet och inflation bestäms. Den lär också ut teorier för hur finans- och penningpolitik påverkar ekonomin på kort och medellång sikt. Vidare lär den ut teorier för tillväxt, konjunkturcykler och för hur olika valutasystem påverkar BNP, sysselsättning och förutsättningarna för den ekonomiska politiken. I tillämpningsdelen studeras stabiliseringspolitiska problem i en öppen ekonomi, konjunkturell och långsiktig ekonomisk utveckling samt olika synsätt på stabiliseringspolitikens roll och möjligheter. Kursen ger även en viss orientering om nationalekonomins utveckling.  Kursen vänder sig till alla som vill lära sig grunderna i makroekonomisk analys. Makroekonomisk analys används i stor utsträckning inom banker, vissa delar av statsförvaltningen och internationella organisationer med ekonomisk inriktning. Den utgör grunden för all slags omvärldsanalys med ekonomiska förtecken.","Efter att ha genomgått kursen förväntas studenten: • Förstå principerna för nationalräkenskapernas uppläggning och för beräkningar av BNP • Kunna tolka innebörden av makroekonomisk statistik • Förstå samband mellan makroekonomiska variabler som BNP, arbetslöshet, ränta, prisnivå och växelkurs • Veta hur penning- och finanspolitik bedrivs • Förstå hur lönebildningen sker och hur den påverkas av institutionella faktorer • Veta hur svensk ekonomisk politik har bedrivits i ett historiskt perspektiv • Förstå skillnaden mellan positiva och normativa analyser • Kunna utföra analyser av effekten av finans- och penningpolitik på kort och medellång sikt • Kunna utföra analyser av hur strukturella förändringar påverkar produktion och arbetslöshet"
EC1212,"Kursen introducerar makroekonomiska problem och metoder. Den består av en teoridel och en tillämpningsdel. Teoridelen lär ut beräkningsgrunder för bruttonationalprodukten (BNP) och teorier för hur produktion, arbetslöshet och inflation bestäms. Den lär också ut teorier för hur finans- och penningpolitik påverkar ekonomin på kort och medellång sikt. Vidare lär den ut teorier för tillväxt, konjunkturcykler och för hur olika valutasystem påverkar BNP, sysselsättning och förutsättningarna för den ekonomiska politiken. I tillämpningsdelen studeras stabiliseringspolitiska problem i en öppen ekonomi, konjunkturell och långsiktig ekonomisk utveckling samt olika synsätt på stabiliseringspolitikens roll och möjligheter. Kursen ger även en viss orientering om nationalekonomins utveckling.  Kursen vänder sig till alla som vill lära sig grunderna i makroekonomisk analys. Makroekonomisk analys används i stor utsträckning inom banker, vissa delar av statsförvaltningen och internationella organisationer med ekonomisk inriktning. Den utgör grunden för all slags omvärldsanalys med ekonomiska förtecken.","Efter att ha genomgått kursen förväntas studenten: • Förstå principerna för nationalräkenskapernas uppläggning och för beräkningar av BNP • Kunna tolka innebörden av makroekonomisk statistik • Förstå samband mellan makroekonomiska variabler som BNP, arbetslöshet, ränta, prisnivå och växelkurs • Veta hur penning- och finanspolitik bedrivs • Förstå hur lönebildningen sker och hur den påverkas av institutionella faktorer • Veta hur svensk ekonomisk politik har bedrivits i ett historiskt perspektiv • Förstå skillnaden mellan positiva och normativa analyser • Kunna utföra analyser av effekten av finans- och penningpolitik på kort och medellång sikt • Kunna utföra analyser av hur strukturella förändringar påverkar produktion och arbetslöshet"
